ParticipantNumber,Condition,conditiongroup,cond2,Participate,part,ValidEmail,ValidEmailYes1No0,Age,AgeRange,Whatisyouryearofbirth,Gender,M,Race,Religion,P,EducationLevel,R,QuestionTypePrefer,AttitudetoLatePayment,U,cond1,agecat,gender,edu,ethn,rel
94,Control Condition,Control Condition,Control,No,No,Yes,1,22,20-24,2000,0,Female,5,2,No Religion,2,University - Bachelors Degree,There is no difference between the two options for me,Definitely yes,,Control,20-24,Female,Bachelor's degree,White,No religion
95,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,No,0,29,25-29,1993,0,Female,1,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,There is no difference between the two options for me,Definitely yes,,Decoy,25-29,Female,Bachelor's degree,Asian,Christian
96,Control Condition,Control Condition,Control,No,No,No,0,26,25-29,1996,1,Male,6,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,There is no difference between the two options for me,Definitely yes,,Control,25-29,Male,Bachelor's degree,Black,Christian
97,Control Condition,Control Condition,Control,No,No,Yes,1,24,20-24,1998,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,There is no difference between the two options for me,Definitely yes,,Control,20-24,Male,Bachelor's degree,White,Christian
98,Control Condition,Control Condition,Control,No,No,Yes,1,30,30-35,1992,1,Male,6,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Definitely yes,,Control,2.0,Male,Graduate or professional degree,Black,Christian
99,Control Condition,Control Condition,Control,No,No,Yes,1,27,25-29,1995,0,Female,6,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Definitely yes,,Control,25-29,Female,Graduate or professional degree,Black,Christian
100,Control Condition,Control Condition,Control,No,No,No,0,26,25-29,1996,0,Female,6,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,There is no difference between the two options for me,Definitely yes,,Control,25-29,Female,Bachelor's degree,Black,Christian
101,Control Condition,Control Condition,Control,No,No,Yes,1,27,25-29,1995,1,Male,6,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Definitely yes,,Control,25-29,Male,Graduate or professional degree,Black,Christian
102,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,Yes,Yes,Yes,1,26,25-29,1996,1,Male,1,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Definitely yes,,Decoy,25-29,Male,Graduate or professional degree,Asian,Christian
103,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,Yes,Yes,Yes,1,29,25-29,1993,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Definitely yes,,Decoy,25-29,Female,Graduate or professional degree,White,Christian
104,Control Condition,Control Condition,Control,No,No,No,0,28,25-29,1994,1,Male,5,2,No Religion,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Definitely yes,,Control,25-29,Male,Graduate or professional degree,White,No religion
105,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,Yes,Yes,Yes,1,25,25-29,1997,0,Female,1,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,There is no difference between the two options for me,Definitely yes,,Decoy,25-29,Female,Bachelor's degree,Asian,Christian
106,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,25,25-29,1997,0,Female,1,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,There is no difference between the two options for me,Definitely yes,,Control,25-29,Female,Bachelor's degree,Asian,Christian
107,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,27,25-29,1995,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Male,Bachelor's degree,White,Christian
108,Control Condition,Control Condition,Control,No,No,Yes,1,25,25-29,1997,1,Male,1,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Control,25-29,Male,Bachelor's degree,Asian,Christian
109,Control Condition,Control Condition,Control,No,No,Yes,1,26,25-29,1996,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Control,25-29,Female,Bachelor's degree,White,Christian
110,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,28,25-29,1994,1,Male,1,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Male,Bachelor's degree,Asian,Christian
111,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,22,20-24,2000,1,Male,1,5,Jewish,2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Probably yes,,Control,20-24,Male,Bachelor's degree,Asian,Ohter religion
112,Control Condition,Control Condition,Control,No,No,Yes,1,32,30-35,1990,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Control,2.0,Male,Graduate or professional degree,White,Christian
113,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,Yes,Yes,Yes,1,32,30-35,1990,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,There is no difference between the two options for me,Definitely yes,,Decoy,2.0,Male,Bachelor's degree,White,Christian
114,Control Condition,Control Condition,Control,No,No,Yes,1,28,25-29,1994,1,Male,1,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Control,25-29,Male,Bachelor's degree,Asian,Christian
115,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,Yes,Yes,Yes,1,32,30-35,1990,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,2.0,Male,Graduate or professional degree,White,Christian
116,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,Yes,Yes,Yes,1,31,30-35,1991,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,2.0,Male,Bachelor's degree,White,Christian
117,Control Condition,Control Condition,Control,No,No,Yes,1,32,30-35,1990,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Control,2.0,Male,Graduate or professional degree,White,Christian
118,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,Yes,Yes,Yes,1,31,30-35,1991,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,2.0,Male,Graduate or professional degree,White,Christian
119,Control Condition,Control Condition,Control,No,No,Yes,1,32,30-35,1990,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Control,2.0,Male,Graduate or professional degree,White,Christian
120,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,30,30-35,1992,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Control,2.0,Female,Bachelor's degree,White,Christian
121,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,Yes,Yes,Yes,1,31,30-35,1991,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,2.0,Male,Graduate or professional degree,White,Christian
122,Control Condition,Control Condition,Control,No,No,Yes,1,31,30-35,1991,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Control,2.0,Male,Graduate or professional degree,White,Christian
123,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,Yes,No,Yes,1,32,30-35,1990,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,2.0,Male,Graduate or professional degree,White,Christian
124,Control Condition,Control Condition,Control,No,No,Yes,1,31,30-35,1991,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Control,2.0,Male,Graduate or professional degree,White,Christian
125,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,30,30-35,1992,1,Male,1,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Probably yes,,Control,2.0,Male,Graduate or professional degree,Asian,Christian
126,Control Condition,Control Condition,Control,No,No,Yes,1,26,25-29,1996,1,Male,1,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Control,25-29,Male,Bachelor's degree,Asian,Christian
127,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,Yes,No,Yes,1,23,20-24,1999,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,20-24,Male,Bachelor's degree,White,Christian
128,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,32,30-35,1990,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,2.0,Male,Bachelor's degree,White,Christian
129,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,No,0,25,25-29,1997,1,Male,1,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Male,Graduate or professional degree,Asian,Christian
130,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,28,25-29,1994,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Open-ended questions (e.g. text entry),Definitely yes,,Control,25-29,Male,Bachelor's degree,White,Christian
131,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,Yes,Yes,Yes,1,32,30-35,1990,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,2.0,Male,Graduate or professional degree,White,Christian
132,Control Condition,Control Condition,Control,No,No,Yes,1,32,30-35,1990,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Control,2.0,Male,Graduate or professional degree,White,Christian
133,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,Yes,Yes,Yes,1,31,30-35,1991,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,2.0,Male,Graduate or professional degree,White,Christian
134,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,Yes,Yes,Yes,1,32,30-35,1990,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,2.0,Male,Graduate or professional degree,White,Christian
135,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,31,30-35,1991,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Control,2.0,Male,Bachelor's degree,White,Christian
136,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,32,30-35,1990,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Definitely yes,,Decoy,2.0,Female,Graduate or professional degree,White,Christian
137,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,30,30-35,1992,0,Female,1,6,Muslim,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Definitely yes,,Decoy,2.0,Female,Graduate or professional degree,Asian,Ohter religion
138,Control Condition,Control Condition,Control,No,No,Yes,1,32,30-35,1990,1,Male,1,6,Muslim,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Control,2.0,Male,Graduate or professional degree,Asian,Ohter religion
139,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,26,25-29,1996,0,Female,1,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Female,Bachelor's degree,Asian,Christian
140,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,24,20-24,1998,1,Male,1,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,20-24,Male,Bachelor's degree,Asian,Christian
141,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,27,25-29,1995,0,Female,1,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Female,Bachelor's degree,Asian,Christian
142,Control Condition,Control Condition,Control,No,No,Yes,1,29,25-29,1993,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Control,25-29,Female,Graduate or professional degree,White,Christian
143,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,31,30-35,1991,1,Male,6,6,Muslim,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,2.0,Male,Graduate or professional degree,Black,Ohter religion
144,Control Condition,Control Condition,Control,No,No,Yes,1,28,25-29,1994,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Definitely yes,,Control,25-29,Female,Graduate or professional degree,White,Christian
145,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,27,25-29,1995,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Female,Bachelor's degree,White,Christian
146,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,25,25-29,1997,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,There is no difference between the two options for me,Probably yes,,Decoy,25-29,Female,Bachelor's degree,White,Christian
147,Control Condition,Control Condition,Control,No,No,Yes,1,25,25-29,1997,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Definitely yes,,Control,25-29,Male,Graduate or professional degree,White,Christian
148,Control Condition,Control Condition,Control,No,No,Yes,1,28,25-29,1994,1,Male,5,2,No Religion,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Control,25-29,Male,Graduate or professional degree,White,No religion
149,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,26,25-29,1996,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Probably no,,Decoy,25-29,Female,Bachelor's degree,White,Christian
150,Control Condition,Control Condition,Control,No,No,Yes,1,24,20-24,1998,0,Female,1,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Control,20-24,Female,Bachelor's degree,Asian,Christian
151,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,28,25-29,1994,0,Female,1,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Female,Bachelor's degree,Asian,Christian
152,Control Condition,Control Condition,Control,No,No,Yes,1,23,20-24,1999,0,Female,1,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Control,20-24,Female,Bachelor's degree,Asian,Christian
153,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,30,30-35,1992,0,Female,1,2,No Religion,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,2.0,Female,Graduate or professional degree,Asian,No religion
154,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,24,20-24,1998,1,Male,1,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Probably yes,,Decoy,20-24,Male,Bachelor's degree,Asian,Christian
155,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,27,25-29,1995,1,Male,1,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Control,25-29,Male,Bachelor's degree,Asian,Christian
156,Control Condition,Control Condition,Control,No,No,Yes,1,30,30-35,1992,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Control,2.0,Male,Graduate or professional degree,White,Christian
157,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,28,25-29,1994,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Male,Graduate or professional degree,White,Christian
158,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,24,20-24,1998,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,There is no difference between the two options for me,Probably yes,,Decoy,20-24,Male,Bachelor's degree,White,Christian
159,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,26,25-29,1996,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Probably yes,,Decoy,25-29,Male,Bachelor's degree,White,Christian
160,Control Condition,Control Condition,Control,No,No,Yes,1,32,30-35,1990,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Control,2.0,Female,Graduate or professional degree,White,Christian
161,Control Condition,Control Condition,Control,No,No,Yes,1,25,25-29,1997,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Open-ended questions (e.g. text entry),Definitely yes,,Control,25-29,Female,Bachelor's degree,White,Christian
162,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,27,25-29,1995,1,Male,1,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Male,Graduate or professional degree,Asian,Christian
163,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,30,30-35,1992,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Definitely yes,,Decoy,2.0,Male,Graduate or professional degree,White,Christian
164,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,28,25-29,1994,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Definitely yes,,Decoy,25-29,Male,Graduate or professional degree,White,Christian
165,Control Condition,Control Condition,Control,No,No,Yes,1,31,30-35,1991,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Control,2.0,Male,Graduate or professional degree,White,Christian
166,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,24,20-24,1998,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Open-ended questions (e.g. text entry),Definitely yes,,Decoy,20-24,Male,Bachelor's degree,White,Christian
167,Control Condition,Control Condition,Control,No,No,Yes,1,25,25-29,1997,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Control,25-29,Female,Bachelor's degree,White,Christian
168,Control Condition,Control Condition,Control,No,No,Yes,1,27,25-29,1995,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Definitely yes,,Control,25-29,Male,Graduate or professional degree,White,Christian
169,Control Condition,Control Condition,Control,No,No,Yes,1,30,30-35,1992,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Probably yes,,Control,2.0,Male,Graduate or professional degree,White,Christian
170,Control Condition,Control Condition,Control,No,No,Yes,1,29,25-29,1993,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Open-ended questions (e.g. text entry),Definitely yes,,Control,25-29,Male,Graduate or professional degree,White,Christian
171,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,27,25-29,1995,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Male,Graduate or professional degree,White,Christian
172,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,24,20-24,1998,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,20-24,Female,Bachelor's degree,White,Christian
173,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,28,25-29,1994,1,Male,1,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Male,Graduate or professional degree,Asian,Christian
174,Control Condition,Control Condition,Control,No,No,Yes,1,23,20-24,1999,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,There is no difference between the two options for me,Definitely yes,,Control,20-24,Male,Bachelor's degree,White,Christian
175,Control Condition,Control Condition,Control,No,No,Yes,1,26,25-29,1996,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Control,25-29,Male,Graduate or professional degree,White,Christian
176,Control Condition,Control Condition,Control,No,No,Yes,1,25,25-29,1997,1,Male,5,2,No Religion,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Control,25-29,Male,Graduate or professional degree,White,No religion
177,Control Condition,Control Condition,Control,No,No,Yes,1,25,25-29,1997,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Probably yes,,Control,25-29,Male,Graduate or professional degree,White,Christian
178,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,24,20-24,1998,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,20-24,Male,Bachelor's degree,White,Christian
179,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,30,30-35,1992,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,2.0,Female,Bachelor's degree,White,Christian
180,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,25,25-29,1997,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,There is no difference between the two options for me,Definitely yes,,Decoy,25-29,Female,Bachelor's degree,White,Christian
181,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,Yes,1,29,25-29,1993,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Male,Graduate or professional degree,White,Christian
182,Control Condition,Control Condition,Control,No,No,Yes,1,27,25-29,1995,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Control,25-29,Female,Graduate or professional degree,White,Christian
183,Control Condition,Control Condition,Control,No,No,Yes,1,28,25-29,1994,1,Male,1,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Probably yes,,Control,25-29,Male,Graduate or professional degree,Asian,Christian
